No.,Sexo,Tipo_Empleo,Tiene_Vehiculo,Edad,Ciudad_Chile,Num_Entidades_Deuda,Tiene_Tarjeta,Saldo_Tarjeta_CLP,Saldo_Total_CLP,Variacion_Endeudamiento,Peor_Calificacion_36M,Peor_Calificacion_12M,Reportes_Central_36M,Reportes_Central_12M,Promedio_Saldo_CLP,Maximo_Saldo_CLP,Ingreso_CLP,Ratio_Saldo_Ingreso,ScoreRiesgo,RiesgoAlto
1381,M,DEP,0,52,SANTIAGO,3,1,1577676.5,4402218,0.404623260559787,0,0,23,12,2900877.11,4348489.5,3910000,0.0938239110438212,10.58,0
1382,M,DEP,0,64,SANTIAGO,0,0,0,0,-1,3,0,25,1,690370.51,2423681.5,2550000,0,0,0
1383,F,DEP,0,46,SANTIAGO,3,1,1950631,10021551,0.0012941482799452,3,3,36,12,5755728.5,10968604,1700000,0.491252475918996,35.08,1
1384,F,IND,1,51,CONCEPCION,1,0,0,8417167.5,-0.218310999873855,4,1,36,12,5770637.5,11859336,3051500,0.229864199850778,12.06,1
1385,M,DEP,0,31,SANTIAGO,2,0,0,5091415,-0.168711412920679,1,1,36,12,4631627.9,6959502.5,1020000,0.415965243793689,16.35,1
1386,F,IND,0,32,SANTIAGO,2,0,0,1980058,-0.214497435897436,0,0,36,12,1871213.8,3315000,2040000,0.0808847189181079,7.14,0
1387,M,IND,0,64,CONCEPCION,1,0,0,1981452,-0.0546736088708165,2,0,23,12,1244760.23,2265947,1428000,0.115630945633115,3.99,0
1388,F,IND,0,50,SANTIAGO,0,0,0,0,0,4,,16,0,0,0,1700000,0,0.07,0
1389,F,IND,0,29,SANTIAGO,1,0,0,4250000,4,0,0,2,1,850000,850000,4250000,0.0833333316993464,4.12,0
1390,M,DEP,0,25,SANTIAGO,1,0,0,790143,-0.514024342157146,0,0,23,12,1535113.68,2586788,1190000,0.0553321389823432,3.65,0
1391,M,DEP,1,32,SANTIAGO,1,1,2532515.5,5380483,-0.471061398337707,4,0,36,12,9278142.7,11780294.5,1615000,0.277630687428757,4.79,0
1392,M,DEP,0,25,CONCEPCION,3,0,0,7327603.5,-0.283752540105353,0,0,36,12,7945473,12084390.5,850000,0.71839242956937,13.71,1
1393,M,IND,0,33,SANTIAGO,0,0,0,0,-1,3,3,33,9,9631717.71,19851350.5,2295000,0,22.5,1
1394,M,DEP,0,27,SANTIAGO,3,1,1150823.5,4081691.5,-0.587196785452928,0,0,36,12,8717469.1,11998455.5,2125000,0.160066327056223,10.85,0
1395,F,IND,0,30,SANTIAGO,4,0,0,9295940,-0.389041401751056,1,0,36,12,14827378.41,20252754.5,2533000,0.305827730430723,14.94,1
